$f0	00000
$0	00000
$f1	00001
$1	00001
$f2	00010
$2	00010
$f3	00011
$3	00011
$f4	00100
$4	00100
$f5	00101
$5	00101
$f6	00110
$6	00110
$f7	00111
$7	00111
$f8	01000
$8	01000
$f9	01001
$9	01001
$f10	01010
$10	01010
$f11	01011
$11	01011
$f12	01100
$12	01100
$f13	01101
$13	01101
$f14	01110
$14	01110
$f15	01111
$15	01111
$f16	10000
$16	10000
$f17	10001
$17	10001
$f18	10010
$18	10010
$f19	10011
$19	10011
$f20	10100
$20	10100
$f21	10101
$21	10101
$f22	10110
$22	10110
$f23	10111
$23	10111
$f24	11000
$24	11000
$f25	11001
$25	11001
$f26	11010
$26	11010
$f27	11011
$27	11011
$f28	11100
$28	11100
$f29	11101
$29	11101
$f30	11110
$30	11110
$f31	11111
$31	11111
